text,label,prediction
"نهدف في هذا البحث إلى تحليل التمثيلات الخفية للأنساق السوسيونصية في الرواية المغاربية المعاصرة، بتركيز خاص على رواية ""المستنقع أو التحليق بجناح واحد"" للمحسن بن هنية كنموذج. ننطلق من فرضية مفادها أن النص السردي يحمل في طياته مدخلات اجتماعية وثقافية مضمرة، تعمل على تشكيل وتجديد بنية السرد وإعادة توظيف القيم المجتمعية السائدة. لذا، نعتمد على منهج تحليلي يهدف إلى كشف كيفية إضمار هذه الأنساق في ذهنية المؤلف ودورها المخفي في نسيج النص الروائي. نولي اهتماماً خاصاً للمصفوفة السردية التي تمنح هذا الخطاب تميزه وخصوصيته داخل السياق الأدبي المغاربي الأوسع، حيث نتساءل عن أهم التمثلات السوسيونصية التي تتخفى وراء السرد وكيفية الكشف عن دلالاتها ومراميها. تعكس هذه الدراسة المسعى لفهم العلاقة بين النص والنسق السوسيونصي، مُعززة بتساؤلات حول الإمكانيات التفسيرية والتحليلية التي يوفرها هذا النوع من الدراسات لاستيعاب مدى تعقيد وتداخل العوامل السردية والاجتماعية في نتاجات الأدب المغاربي، مما يمكن من إعادة التفكير في تقييم تلك الحكايات من منظور يتجاوز القيم التقليدية للمجتمعات التي تتناولها.",1,0
تبرز علاقة الرياضيات في تلك الصيغ الإفرادية والثنائية والجمع، ناهيك عن التقابل بين المفرد والجمع عن طريق واو الجماعة وألف التثنية، وفي بيان حقيقة العدد والمعدود في اللغة وكثير من المفاهيم الهندسية والصيغ الجبرية، إضافة إلى الرموز والأشكال التي يحملها الحرف والرقم وتلتقي لتترجم فكرا ومنهجا .لقد عاش أسلافنا بفكر رياضي ليعبروا عن اللغة، وباللغة ليعبروا عن الرياضيات. فكانت النظرية الخليلية في الأصوات والعروض والصرف. حيث تبنى الخليل معجمه العين على مبادئ الاحتمالات، وصنف بحورالشعر الستة عشر على أساس الدوائر.وأسس علماء لسانيون غربيون نظرية نحوية ابتداء من علم الكيمياء، مثلما فعل لوسيان تينيار.,0,0
يُقدم هذا البحث تحليلاً دقيقاً لبلاغة الإيجاز في سورة الناس، واحدة من السور القصيرة في القرآن الكريم. يهدف البحث إلى الكشف عن آليات البلاغة وطرق التعبير الموجزة التي تتميز بها السورة، وتحليل تأثير هذه الآليات على فهم القارئ والمستمع. يعتمد البحث على منهجية تحليلية نقدية، حيث يتم فحص الآيات وتفسيرها بلاغياً من خلال دراسة بنية الجمل وتراكيب الكلمات، وتحليل العلاقة بين المعنى المباشر والرمزي. من المتوقع أن يظهر البحث كيف تُستخدم البلاغة في سورة الناس لتحقيق تأثير عميق في النفوس، وتقديم رسالة دينية قوية من خلال التعبير الموجز. يأمل البحث أن يسهم في تعزيز الفهم العميق للقرآن الكريم من خلال دراسة البلاغة فيه، وتقديم رؤية جديدة حول كيفية استخدام الإيجاز كأداة بلاغية فعالة في النصوص الدينية.,1,1
تدرس هذه الورقة البحثية تطور وتأثير العقوبات البديلة في التشريع الجزائري كنهج للتخفيف من العقاب. الهدف الرئيسي هو تقييم فعالية هذه البدائل، مثل الخدمة المجتمعية والرصد الإلكتروني، في تقليل معدلات العودة للجريمة. تتضمن المنهجية مراجعة شاملة للقوانين الجزائرية ذات الصلة، ودراسات الحالة، والمقابلات مع الخبراء القانونيين. النتائج المتوقعة توفر رؤى حول فعالية العقوبات البديلة في تعزيز التأهيل على حساب الإجراءات العقابية، مما يساهم في نقاش أوسع حول إصلاح العقوبات.,1,1
تدرس هذه الدراسة تطبيق مفاهيم المحاسبة السلوكية في دائرة الجمارك الأردنية من وجهة نظر المحاسبين العاملين فيها. تستخدم البحث منهجية مختلطة، تجمع بين الاستطلاعات والمقابلات، لجمع البيانات من عينة من المحاسبين. تشير النتائج إلى أن دائرة الجمارك الأردنية تطبق بعض مفاهيم المحاسبة السلوكية، ولكن هناك فجوات كبيرة في الفهم والتطبيق. تشير الدراسة إلى أن دائرة الجمارك الأردنية يجب أن تستثمر في تدريب وتطوير موظفيها لتعزيز فهمهم وتطبيقهم لمفاهيم المحاسبة السلوكية.,1,1
"تهدف هذه الدراسة إلى تسليط الضوء على دور العلاقات العامة الرقمية في نشر الوعي الصحي خلال جائحة كورونا، مع التركيز على تحليل استراتيجية التواصل التي اتبعها الدكتور حفيظ عيادة عبر صفحته على فيسبوك. تسعى الدراسة إلى توضيح كيفية استغلال التطور التكنولوجي في تطوير ممارسات ونشاطات العلاقات العامة، وتعزيز الوعي الصحي لدى المواطنين الجزائريين. تم استخدام المنهج المسحي وأداة تحليل المحتوى لجمع البيانات وتحليلها.

أظهرت النتائج أن العلاقات العامة الرقمية قامت بجهود اتصالية فعّالة لتوجيه الرسائل إلى الجمهور من خلال تنوع المضامين الإعلامية المستخدمة. كما اعتمدت على أساليب متعددة، بما في ذلك أسلوب احتواء الأزمة، مما ساهم في خلق عمليات اتصالية فعّالة لترسيخ الوعي الصحي ورفع مستويات المعرفة لدى المواطنين الجزائريين. هذه الجهود ساعدت في الحد من انتشار العدوى وضمان عدم إثارة الهلع والتناقض بين الجمهور.

في المجمل، تقدم هذه الدراسة نموذجاً يوضح كيفية توظيف العلاقات العامة الرقمية في إدارة الأزمات الصحية وتعزيز الوعي الصحي بين المواطنين.",1,1
"دلالة الحجاج ومفهومه

يعد مصطلح الحجاج من المفاهيم المهمة في اللغة العربية، حيث يُستخدم في عدة مجالات. يهدف هذا البحث إلى دراسة دلالة الحجاج لغة واصطلاحاً، وكذلك مدلول الحجاج في البلاغة العربية. يُشير البحث إلى أن الحجاج يُستخدم في اللغة العربية للدلالة على الجدل والمناظرة، كما يُستخدم في البلاغة العربية للدلالة على فن الحجاج. يُقدم البحث نظرة عامة حول مفاهيم الحجاج عند اللسانيين الغربيين، مثل بردان وتلموذه ماير، وكذلك عند اللسانيين الفرس، مثل ديكرو. يُشير البحث إلى أن الحجاج يُعتبر من العلوم الأساسية في اللغة العربية، حيث يُستخدم في الجدل والمناظرة. يُهدف البحث إلى توضيح مفهوم الحجاج ودوافعه، وكذلك إلى بيان أهميته في اللغة العربية.",1,1
"تهدف هذه الدراسة إلى تحليل الخطاب الدعائي في التراث العربي الإسلامي من منظور شعري حجاجي وإمتاعي. تركز الباحثة على العلاقة بين البعدين الحجاجي والإمتاعي في الدعاء وتأثيرهما على الشعور والعاطفة. تستخدم الباحثة أمثلة من القرآن الكريم والسنة النبوية والتراث الصوفي لتوضيح هذه العلاقة.

تتناول الدراسة أيضاً تأثير الدعاء على العلاقة بين العبد والله وكيف يعبر الدعاء عن الحاجة والتذلل والاستعطاف. تشير الباحثة إلى أن الدعاء ليس مجرد كلمات بل يحمل شعوراً عميقاً وتأثيراً نفسياً.

تستند الدراسة إلى مجموعة من المصادر والمراجع العربية والإسلامية التي تتناول موضوع الدعاء والخطاب الدعائي. تستخدم الباحثة منهجاً تحليلياً نقدياً لفهم النصوص واستخلاص النتائج المتعلقة بالعلاقة بين الحجاج والإمتاع في الدعاء.

في النهاية، تقدم الدراسة نتائج وتوصيات حول كيفية فهم وتحليل الخطاب الدعائي في التراث العربي الإسلامي من منظور شعري حجاجي وإمتاعي.",1,1
المكتبات الجامعية تلعب دورًا حاسمًا في مؤسسات التعليم العالي، حيث تتطلب العملية التعليمية وجود مكتبة متكاملة تتيح للطلاب الوصول إلى مصادر المعلومات والمراجع اللازمة لتحقيق أهدافهم الأكاديمية. في عصر التطورات السريعة والتغيرات المستمرة، يزداد الحاجة إلى تنظيم المعلومات وتصنيفها، ويعتبر استخدام تقنيات المعلومات، بقيادة الحاسوب، ضرورة ملحة لذلك. إن المكتبات الجامعية توفر بيئة تعليمية متطورة تتيح للطلاب الوصول إلى المعلومات بسهولة وفعالية، مما يعزز من جودة العملية التعليمية ويسهم في تطور المؤسسات التعليمية.,1,1
تُعدُّ العلاقات الاجتماعية في المدرسة عنصراً حيوياً في تحقيق التكامل المجتمعي والنهوض به، حيث تلعب المدرسة دوراً محورياً في تنشئة أفراد المجتمع وتأهيلهم للمساهمة في تقدمه وتنميته. ومن خلال دراسة العلاقات الاجتماعية في مرحلة المتوسط بمدينة الجلفة، يهدف البحث إلى فهم الأثر المباشر لهذه العلاقات على التحصيل الدراسي للطلاب. وتسعى الدراسة إلى استكشاف العوامل الاجتماعية التي تؤثر على الأداء الأكاديمي للطلاب، مع التركيز على أهمية المناخ الاجتماعي في المدرسة في تعزيز أو تعطيل العملية التعليمية. ومن خلال المنهج الميداني، يهدف البحث إلى تقديم رؤية شاملة حول العلاقة بين العلاقات الاجتماعية والتحصيل الدراسي في مرحلة المتوسط، مع وضع توصيات عملية لتعزيز هذه العلاقات وتحسين الأداء الأكاديمي للطلاب.,1,1
تهدف هذه الورقة البحثية تجريبيا في أثر المقاولاتية على البطالة في الجزائر خلال الفترة الممتدة مابين 1991-2019 باستخدام نموذج الانحدار الذاتي للفجوات الزمنية المتباطئة (ARDL) لتقدير نموذج قياسي يتضمن متغيرين مستقلين: العمل لحساب الخاص (النشاط المقاولاتي) والناتج المحلي الإجمالي ومتغير تابع : معدل البطالة. توصلت النتائج إلى وجود علاقة توازنية طويلة الأجل بين متغيرات الدراسة ووجود أثر ايجابي ومعنوي لمتغير المقاولاتية على البطالة كما تم التوصل إلى أن الناتج المحلي الإجمالي يؤثر سلبيا ومعنويا على البطالة في الجزائر.,0,1
"يستكشف هذا البحث مفهوم الحمل على المعنى في تفسير ابن عادل الدمشقي الحنبلي (880 هـ) ""اللباب في علوم الكتاب""، مع التأكيد على أهميته في التفسير وفهم القرآن. من خلال فحص أشكال مختلفة مثل تأنيث المذكر وعكسه، وحمل المفرد أو الجمع على معنى الآخر، يهدف البحث إلى فهم استراتيجية ابن عادل في التأويل النحوي.",1,1
تدرس هذه الدراسة إصلاح الإدارة المحلية في الجزائر، مع التركيز على تحسين الخدمات العامة في ظل التحديات الواقعية. يتم التأكيد على أهمية الإدارة المحلية كواجهة حاسمة لأي هيكل تنظيمي للدولة ودورها في التنمية. يتم التأكيد على الحاجة إلى الإصلاح والتطوير لتلبية متطلبات الخدمات للمواطنين، وخاصة تحسين جودة الخدمات في إطار التنمية المحلية الشاملة. يتم استكشاف النهج الاستشرافي والهياكل الإدارية المتقدمة لتسهيل إدارة الشؤون العامة بكفاءة.,1,1
